date,region,app,compliance_score
2025-03-21,Europe,Instagram,73.76395604117253
2025-05-27,Europe,WhatsApp,93.2037965503914
2025-01-22,Europe,WhatsApp,87.44813638437417
2025-03-24,Asia,Messenger,84.0732267251447
2025-01-05,Asia,Facebook,87.18292355416241
2025-09-18,Africa,WhatsApp,70.24225986317462
2025-05-09,Africa,WhatsApp,72.0319072891308
2025-04-24,Africa,WhatsApp,85.77547837218944
2025-02-16,Europe,Messenger,75.20857748444672
2025-07-07,Europe,Facebook,86.366228564003
2025-01-19,Europe,WhatsApp,80.62640715624445
2025-03-28,North America,Facebook,97.22236062024258
2025-05-22,North America,WhatsApp,98.49050281913361
2025-09-08,Europe,Instagram,99.39352339205558
2025-01-08,South America,WhatsApp,96.96813987648456
2025-02-06,Africa,WhatsApp,99.57672553576998
2025-03-27,Asia,Messenger,91.18441377218085
2025-03-13,Africa,WhatsApp,98.81626839703154
2025-09-23,South America,Instagram,89.25377396370482
2025-03-08,North America,WhatsApp,94.27642620657161
2025-05-21,Europe,Instagram,73.95729978171131
2025-03-05,North America,Instagram,90.47798762807673
2025-01-30,North America,Instagram,97.93309928005779
2025-02-14,South America,Messenger,86.20144724598288
2025-05-14,North America,Facebook,75.60459140590928
2025-01-16,North America,Facebook,85.80665682175004
2025-08-07,Africa,Instagram,91.20822982178464
2025-08-09,Africa,Messenger,93.09365497292194
2025-07-12,South America,Messenger,85.71106029795952
2025-06-07,Europe,Facebook,76.5210407265595
2025-01-24,Africa,Instagram,97.80066365736242
2025-05-21,North America,Facebook,93.20852249360071
2025-08-10,Asia,Facebook,78.12065201852812
2025-01-26,Africa,Messenger,94.35438752189123
2025-04-08,Asia,Messenger,80.43587948554178
2025-03-02,Europe,WhatsApp,79.37294034005143
2025-08-31,North America,Messenger,95.89229882041433
2025-01-09,Africa,Messenger,96.19705620451364
2025-09-17,Europe,Facebook,81.95444208456938
2025-02-01,South America,Messenger,70.26768415244693
2025-04-03,Europe,Messenger,75.59696864199975
2025-05-08,South America,Facebook,97.27888984673676
2025-08-25,South America,Messenger,96.96248011165173
2025-01-17,Africa,Messenger,83.60034244280342
2025-02-10,Asia,WhatsApp,79.12350121827636
2025-02-11,South America,Instagram,79.08244876315516
2025-09-23,North America,WhatsApp,96.91584407885614
2025-02-21,Africa,Messenger,79.7419993292655
2025-07-07,South America,Facebook,85.34740779220328
2025-05-31,Africa,Facebook,91.93033151778694
2025-09-01,North America,Instagram,76.28443124828256
2025-05-07,Africa,Facebook,77.61517244757681
2025-07-24,Africa,Messenger,80.74185679285381
2025-04-10,South America,WhatsApp,89.6267016804217
2025-03-20,Europe,Instagram,94.52471953438985
2025-07-02,Africa,WhatsApp,86.40117289992999
2025-04-08,South America,Facebook,73.98786209948871
2025-03-09,North America,Messenger,83.38736569209163
2025-01-28,North America,Instagram,73.83072166369583
2025-01-29,Europe,Facebook,72.64891509000086
2025-05-02,North America,Facebook,87.68850309554344
2025-07-31,South America,WhatsApp,98.6863633539377
2025-06-25,Europe,Facebook,95.12835500002178
2025-04-15,South America,WhatsApp,93.23413787627479
2025-03-13,Europe,Facebook,91.81167897596
2025-04-20,Europe,WhatsApp,96.91383571407093
2025-04-23,South America,WhatsApp,92.58505252428333
2025-08-20,Europe,Messenger,88.80632035902315
2025-02-12,South America,Instagram,80.94040240821161
2025-09-22,North America,Instagram,73.02831669579378
2025-02-15,North America,Messenger,83.83100091532032
2025-02-27,Africa,Facebook,97.74352708436102
2025-08-13,Asia,Facebook,87.49300796125458
2025-05-20,Asia,Instagram,75.53512539685401
2025-04-11,North America,WhatsApp,89.47069925442531
2025-08-26,Africa,WhatsApp,83.96386702241513
2025-03-30,Asia,Instagram,97.941402657489
2025-09-03,South America,Instagram,74.82819730186007
2025-06-28,South America,Messenger,91.36035245520287
2025-08-19,Europe,Facebook,90.44807394420405
2025-04-09,Asia,WhatsApp,99.50624735564514
2025-08-03,South America,Messenger,86.94736379855317
2025-07-19,Asia,Instagram,96.1472210780092
2025-09-13,Europe,Messenger,70.74141812594291
2025-07-14,North America,Messenger,73.68675904672398
2025-01-24,Africa,WhatsApp,80.37815718539592
2025-09-27,Europe,Messenger,88.57982191471714
2025-08-14,Europe,WhatsApp,83.47238034902226
2025-08-16,Europe,Instagram,76.08088742039766
2025-05-08,Africa,WhatsApp,87.67611219674303
2025-01-31,South America,Facebook,87.00097178024089
2025-09-08,Asia,Instagram,85.73342435562546
2025-02-27,North America,WhatsApp,72.71668336332094
2025-05-27,North America,Instagram,97.81076478268693
2025-04-16,Africa,Messenger,87.76765911104309
2025-03-26,North America,Instagram,77.91975241595972
2025-01-02,Africa,WhatsApp,90.62254571183561
2025-02-22,Africa,Messenger,79.53723972606662
2025-08-10,Asia,Facebook,85.17568080323278
2025-01-25,Asia,Instagram,80.23395313176948
2025-02-04,Africa,WhatsApp,96.41182079613078
2025-06-06,Asia,Instagram,99.81941753604791
2025-05-25,South America,Instagram,74.83546195983696
2025-06-28,Europe,WhatsApp,70.70736851669791
2025-07-16,North America,Facebook,76.57967520946127
2025-08-13,North America,WhatsApp,87.69855949292841
2025-02-16,North America,Instagram,75.21853418732599
2025-07-04,North America,Facebook,94.3445327381846
2025-06-11,South America,Facebook,82.26011730383327
2025-05-11,South America,Facebook,88.3159822214239
2025-04-02,Europe,Facebook,83.66853524868577
2025-03-16,Africa,Instagram,97.09983764856861
2025-05-18,Asia,WhatsApp,71.05406011186834
2025-06-17,Europe,WhatsApp,91.87905686969799
2025-09-15,North America,Messenger,89.56516400022599
2025-08-26,Asia,Messenger,89.48545092957279
2025-02-14,Europe,Messenger,82.41968179114616
2025-05-17,North America,Facebook,70.47025685427693
2025-04-13,Europe,Facebook,90.67722165903874
2025-05-09,North America,WhatsApp,94.8841363842476
2025-06-10,North America,Facebook,72.55690932962044
2025-02-07,South America,WhatsApp,83.24852512731906
2025-02-26,North America,Messenger,74.87784561841163
2025-06-10,Europe,WhatsApp,88.32813359288825
2025-06-25,Asia,Facebook,93.5681462907711
2025-09-16,South America,WhatsApp,90.0011969478222
2025-05-25,Asia,WhatsApp,79.54180211457657
2025-03-09,Africa,WhatsApp,74.19198108497152
2025-09-25,Asia,Facebook,93.82804438151386
2025-08-06,Africa,Instagram,79.71750575478076
2025-06-13,Africa,Messenger,70.66419495233278
2025-06-28,South America,Instagram,87.14263643047752
2025-02-17,Asia,Instagram,77.40031930700135
2025-07-13,North America,Instagram,95.23617995074531
2025-07-25,South America,Instagram,74.29765613172336
2025-03-25,South America,Facebook,83.0440254717775
2025-04-11,North America,Facebook,77.59390610833036
2025-06-04,Asia,Instagram,90.68804857663244
2025-02-16,South America,Instagram,86.45592728072265
2025-08-22,Africa,WhatsApp,93.72963157745788
2025-05-27,North America,WhatsApp,83.75837725670957
2025-07-15,Europe,Messenger,70.14425294633186
2025-01-22,South America,Messenger,76.45589441618488
2025-07-13,Africa,Messenger,99.97471324582821
2025-07-27,Asia,WhatsApp,82.1603496792853
2025-08-05,Asia,Instagram,88.60705323658676
2025-01-27,North America,Instagram,97.14794824176272
2025-01-15,Africa,Messenger,70.61572546435265
2025-06-08,North America,Messenger,89.78822189192186
2025-08-02,South America,Facebook,78.6513092193531
2025-06-13,North America,Messenger,78.37744766057294
2025-05-07,Europe,WhatsApp,76.7455420974492
2025-02-27,North America,WhatsApp,94.68187648873479
2025-05-27,North America,Messenger,81.18843197339484
2025-09-13,South America,Messenger,72.01349614781277
2025-04-20,Africa,Facebook,72.9055347364949
2025-02-18,Europe,Facebook,74.45843088060406
2025-07-01,North America,Facebook,96.96782761752776
2025-03-02,South America,WhatsApp,82.82330279522027
2025-08-23,South America,Facebook,97.48148018798562
2025-08-30,South America,Instagram,94.52438418286373
2025-05-10,Africa,Instagram,95.13647863773544
2025-09-21,North America,Instagram,78.60495433395498
2025-07-27,Asia,Facebook,78.13943238128607
2025-05-22,Europe,WhatsApp,86.80205139513484
2025-01-22,Asia,WhatsApp,82.53774885969852
2025-01-17,Africa,Facebook,85.27182064901041
2025-05-02,North America,Messenger,71.59612605573099
2025-08-15,Asia,Messenger,99.14770573787584
2025-04-26,Asia,Facebook,71.7450642352037
2025-05-29,Asia,WhatsApp,75.36493892985662
2025-06-19,Europe,Instagram,90.34601574505774
2025-03-31,North America,Messenger,74.6650465518575
2025-04-29,South America,Instagram,73.20609783123368
2025-07-03,North America,WhatsApp,74.60861144112766
2025-09-21,Asia,Messenger,71.85760729649228
2025-08-15,North America,Facebook,77.53956220775034
2025-04-03,South America,Instagram,78.13357813044443
2025-04-27,Europe,Instagram,84.95866262644965
2025-05-01,North America,Instagram,83.16167551614325
2025-05-18,North America,Facebook,84.21140245446536
2025-08-19,Europe,Facebook,88.48118512626708
2025-05-28,Europe,Instagram,76.92884293748631
2025-05-22,Asia,Facebook,74.04112393275686
2025-01-08,Asia,Messenger,96.3663483593663
2025-01-05,Europe,WhatsApp,89.01824018706854
2025-09-14,South America,Messenger,71.819898818044
2025-09-03,Asia,Facebook,98.83154949702461
2025-08-23,South America,WhatsApp,90.79205506805226
2025-01-10,Europe,Instagram,74.55113926261035
2025-08-30,North America,Instagram,99.07403295029202
2025-07-07,Europe,WhatsApp,80.962220297489
2025-01-02,Europe,Messenger,99.5353023959431
2025-06-03,Africa,Instagram,73.09826888179866
2025-07-22,Europe,Instagram,74.79907651106487
2025-08-05,Asia,Instagram,89.72258652624532
2025-04-15,North America,Facebook,70.6643039549822
2025-01-01,South America,Messenger,70.56068923654708
2025-09-11,Africa,Facebook,93.75948496674701
2025-07-13,Asia,WhatsApp,75.0334099521946
2025-09-14,North America,WhatsApp,97.56369977762822
2025-09-07,South America,Facebook,82.77688486514116
2025-09-05,North America,Instagram,96.20957062897827
2025-03-29,Asia,Facebook,82.53290752259585
2025-09-10,North America,Messenger,85.9069001491642
2025-06-13,Europe,Instagram,79.49542485029238
2025-06-11,North America,WhatsApp,89.74229253267805
2025-09-22,Europe,Messenger,79.54603497829198
2025-04-20,Asia,WhatsApp,76.69510293550148
2025-07-26,Africa,Messenger,72.43141935888102
2025-05-12,Europe,Messenger,71.7300804348354
2025-05-13,North America,Messenger,79.17923059606866
2025-04-18,North America,WhatsApp,92.09420035747766
2025-06-21,North America,Facebook,76.16860199030849
2025-02-09,Asia,Facebook,78.97682350418489
2025-02-04,South America,Instagram,97.15514255566372
2025-02-28,North America,WhatsApp,89.17472487433962
2025-07-12,North America,Instagram,97.5916716826593
2025-07-29,Europe,Instagram,97.33678102010902
2025-01-31,Africa,Messenger,71.9023204745707
2025-06-23,North America,Messenger,98.65027974785095
2025-07-17,Asia,Facebook,71.53533877183767
2025-04-16,South America,Facebook,97.7685675324546
2025-04-06,South America,Instagram,86.40200309970147
2025-06-19,South America,Instagram,85.99568748632174
2025-01-30,Asia,Instagram,91.39792187859457
2025-06-10,South America,Facebook,96.3763381228519
2025-04-21,South America,Instagram,88.5101366698377
2025-07-31,Europe,Facebook,82.76199561343964
2025-07-15,South America,WhatsApp,73.3566802895432
2025-04-06,Europe,WhatsApp,93.67627917684635
2025-05-18,Europe,Instagram,73.84880477412415
2025-06-28,Europe,Facebook,91.79097583597729
2025-08-22,Asia,WhatsApp,85.83774837346078
2025-09-06,North America,Facebook,81.57507774274205
2025-05-12,Africa,Facebook,88.38959158760103
2025-09-06,South America,WhatsApp,93.17068258223628
2025-03-04,Africa,Instagram,98.23418855351863
2025-09-14,North America,Instagram,77.940906485134
2025-09-05,Europe,WhatsApp,98.41390480635096
2025-09-21,Europe,Messenger,98.82844137963376
2025-06-28,Europe,Facebook,94.40891543439041
2025-06-14,Europe,Messenger,96.44311524827047
2025-04-01,South America,Instagram,90.77282541151516
2025-07-11,North America,Facebook,71.17291659793854
2025-03-17,North America,WhatsApp,87.25235634116177
2025-04-09,North America,Instagram,92.41613688882316
2025-04-05,Africa,Instagram,98.25109404119004
2025-06-30,Europe,Instagram,87.1135554105662
2025-06-03,Asia,WhatsApp,93.82602034772151
2025-04-22,North America,WhatsApp,91.15116152633482
2025-06-20,Africa,Messenger,78.42408665642745
2025-09-10,South America,WhatsApp,74.64184225454076
2025-05-02,Europe,Messenger,92.52715986033701
2025-07-24,Africa,Facebook,77.01305083538523
2025-09-02,Asia,Facebook,77.34074663890422
2025-05-07,Asia,Facebook,89.31838716101943
2025-02-15,South America,Instagram,93.67205392088586
2025-08-24,North America,Instagram,87.46996278583708
2025-05-21,North America,Instagram,96.54949461637213
2025-05-01,Africa,WhatsApp,76.34329807752023
2025-01-09,Africa,WhatsApp,77.57243288622219
2025-03-07,North America,Messenger,89.10866512472333
2025-03-22,North America,Instagram,94.8810455385489
2025-09-17,Africa,WhatsApp,86.18055405034701
2025-04-15,Europe,Facebook,70.31144719907638
2025-04-07,Asia,Facebook,90.30829387620824
2025-07-09,Asia,WhatsApp,94.40747299053804
2025-07-14,South America,Facebook,78.29630883687922
2025-03-24,Asia,Facebook,71.62594686646803
2025-09-08,Africa,Messenger,85.53855934322645
2025-03-11,Europe,Facebook,71.2646566105286
2025-07-07,Africa,Instagram,82.48050231745734
2025-05-21,North America,WhatsApp,70.53453533410887
2025-05-20,North America,WhatsApp,76.74900168723809
2025-03-16,Asia,Instagram,81.6646735566073
2025-04-10,Europe,Facebook,73.35117669235774
2025-05-25,South America,Messenger,73.4246771196605
2025-06-24,Africa,Messenger,94.81185220976877
2025-08-09,South America,Instagram,71.24271600272199
2025-01-10,South America,Facebook,90.66898746020937
2025-02-15,South America,Instagram,94.43446148048055
2025-04-27,South America,Messenger,73.92167062406917
2025-01-04,Africa,Facebook,75.86112203540418
2025-08-26,North America,Instagram,89.24479904785088
2025-01-31,Africa,Instagram,79.46939838229656
2025-05-10,North America,Facebook,84.29269213704701
2025-08-29,North America,Messenger,95.08008124839196
2025-03-22,Africa,Facebook,74.1394951415287
2025-01-25,Africa,Messenger,88.58957565714118
2025-09-18,Africa,WhatsApp,98.271931668424
2025-02-17,North America,Messenger,71.72399889061512
2025-02-21,Africa,Messenger,71.80020294954284
2025-05-29,Europe,WhatsApp,86.64227117852911
2025-04-09,Asia,Instagram,98.80227388282988
2025-03-08,Asia,Instagram,76.61420927100366
2025-07-29,Europe,Messenger,79.92375909148602
2025-09-05,Asia,WhatsApp,72.95943923643621
2025-04-29,North America,WhatsApp,80.8674169131055
2025-08-16,Africa,Facebook,71.3299744006024
2025-04-13,Africa,Messenger,81.67281993234229
2025-08-28,Africa,WhatsApp,86.66463324826093
2025-08-20,Europe,Instagram,99.25014480052783
2025-06-03,Europe,WhatsApp,94.5516393892585
2025-06-19,North America,WhatsApp,94.66196232326047
2025-06-08,Europe,WhatsApp,76.8443297371659
2025-04-23,Africa,WhatsApp,72.61704106506535
2025-02-20,North America,Instagram,88.09224112312731
2025-02-05,North America,WhatsApp,85.63414585167303
2025-01-13,Africa,Messenger,85.49511629732893
2025-08-06,South America,WhatsApp,73.27023958602129
2025-08-31,Africa,Instagram,84.81654682789977
2025-08-11,North America,Messenger,74.51067221798705
2025-07-27,South America,WhatsApp,82.66343781135515
2025-09-26,Africa,Instagram,71.86487897934448
2025-08-10,Africa,Messenger,95.70677798225707
2025-01-12,South America,WhatsApp,70.39540258917754
2025-07-06,South America,WhatsApp,98.17969418335989
2025-06-18,Asia,WhatsApp,95.88675468186817
2025-04-16,South America,Messenger,92.57824217707909
2025-06-25,Europe,Facebook,99.47651746857174
2025-02-10,South America,WhatsApp,71.61459991382749
2025-09-06,North America,Instagram,89.2479131815704
2025-09-24,South America,Facebook,95.47906271415148
2025-08-10,Africa,WhatsApp,73.79851289592308
2025-04-23,Europe,Instagram,87.54324935999583
2025-07-22,South America,WhatsApp,81.81765726084015
2025-09-19,Europe,Instagram,83.07481340041281
2025-05-24,Asia,WhatsApp,97.37572256155678
2025-08-31,Europe,Instagram,86.15954350824197
2025-09-27,Africa,Instagram,72.79786134538972
2025-02-04,Asia,Facebook,98.11648521533286
2025-02-22,South America,Facebook,75.55633511688687
2025-05-30,Europe,Messenger,96.77910449416191
2025-01-13,Asia,Instagram,99.1276216325608
2025-09-24,South America,Instagram,96.33512389482087
2025-04-07,South America,Facebook,90.31401333426761
2025-03-27,Europe,Messenger,92.30655459469271
2025-09-22,Europe,Instagram,90.99601731294266
2025-03-12,Asia,WhatsApp,83.81573163565187
2025-01-17,Europe,WhatsApp,78.23259156235561
2025-07-08,South America,Messenger,78.55008189853089
2025-01-10,Africa,Instagram,91.93503583858413
2025-06-15,Asia,Instagram,88.7810934496165
2025-02-08,Africa,Facebook,87.5465210190744
2025-08-07,Africa,Facebook,89.57826513773193
2025-04-04,South America,Instagram,93.24358706292666
2025-06-07,Africa,WhatsApp,92.450227439366
2025-02-03,North America,Facebook,73.16189217377206
2025-01-12,Asia,WhatsApp,80.89105149120144
2025-08-21,South America,WhatsApp,77.91901410352257
2025-03-28,Europe,WhatsApp,86.14715986672435
2025-04-03,South America,WhatsApp,71.84248247114736
2025-04-17,Europe,Messenger,92.8739214247752
2025-07-12,South America,Messenger,73.19582001288171
2025-01-10,North America,Facebook,78.14206077731853
2025-05-05,Asia,Instagram,93.48224515663142
2025-05-08,Africa,Messenger,71.54679948756126
2025-07-04,South America,Instagram,89.80603205667975
2025-02-28,Asia,Facebook,97.73434815383159
2025-07-01,Asia,WhatsApp,88.52913451563364
2025-03-15,Asia,Instagram,91.37972462204232
2025-01-02,Asia,Messenger,93.7680061756764
2025-08-31,Asia,Instagram,76.66738966558455
2025-08-16,Africa,Messenger,87.4289175403769
2025-02-17,Africa,Instagram,79.27170148090568
2025-01-06,South America,Messenger,77.48486137675916
2025-02-12,Europe,WhatsApp,75.77369245256664
2025-05-25,South America,Instagram,87.56291845908132
2025-05-07,Asia,Facebook,93.83595779661415
2025-09-03,Europe,Instagram,96.27667192565337
2025-05-01,South America,Messenger,82.85757838425579
2025-08-20,Europe,Instagram,81.18697000593816
2025-07-08,Africa,Facebook,90.61920706301773
2025-08-30,Asia,WhatsApp,93.41077725557052
2025-03-19,Europe,Instagram,77.59958010017189
2025-02-27,North America,WhatsApp,78.9187265263311
2025-06-30,Asia,WhatsApp,86.00179957452852
2025-03-11,Africa,WhatsApp,83.33157063519832
2025-09-22,Africa,Messenger,91.17363199179167
2025-07-23,South America,Instagram,85.13454972963238
2025-06-19,North America,Instagram,73.34797317167748
2025-09-04,Europe,Facebook,74.97859584364313
2025-02-28,South America,WhatsApp,97.05726531461919
2025-01-11,Africa,Messenger,76.82195094489786
2025-01-05,Europe,Messenger,71.502582742537
2025-07-24,Africa,Facebook,91.94363674861675
2025-09-02,Africa,Instagram,90.52033431533923
2025-09-06,North America,Instagram,88.00228055964459
2025-04-15,Asia,Messenger,85.06768463394282
2025-08-30,Europe,Messenger,99.08741062140459
2025-01-07,North America,Facebook,73.5949688775536
2025-08-12,Africa,Messenger,85.3048834773445
2025-08-05,Africa,Messenger,86.92134830410131
2025-02-13,North America,Facebook,70.67478755142518
2025-01-26,Europe,WhatsApp,82.35977274413015
2025-06-30,Africa,Messenger,93.48406376165923
2025-04-02,Europe,Instagram,84.13296265728798
2025-09-25,North America,WhatsApp,96.2583534937275
2025-03-09,Africa,Messenger,89.34396795668377
2025-05-31,South America,WhatsApp,92.98256092149623
2025-04-14,South America,Messenger,94.1344040557708
2025-03-29,Africa,Instagram,90.685007183204
2025-04-05,Asia,Messenger,92.48141980079053
2025-01-03,Africa,Instagram,90.85931619463743
2025-07-27,Africa,Messenger,86.5139124536087
2025-04-12,Africa,Messenger,86.99598896786298
2025-06-26,North America,WhatsApp,75.69654347910404
2025-07-18,Africa,Facebook,94.8231770013717
2025-01-08,Africa,Instagram,79.36411941315697
2025-09-02,North America,WhatsApp,86.07210647395993
2025-06-27,Africa,Facebook,77.48636673827548
2025-03-23,South America,WhatsApp,90.87594937318683
2025-04-22,South America,Instagram,99.25506856551807
2025-01-21,Africa,Facebook,94.05820703942223
2025-02-03,North America,Facebook,88.572864456627
2025-09-12,Africa,Facebook,87.02519601226302
