date,region,app,severity
2025-09-16,Africa,Messenger,medium
2025-07-17,Asia,Instagram,low
2025-05-17,Africa,Facebook,low
2025-06-14,North America,Facebook,low
2025-08-13,Africa,Facebook,low
2025-08-22,North America,WhatsApp,medium
2025-06-21,North America,WhatsApp,low
2025-06-01,Africa,Messenger,low
2025-06-09,North America,WhatsApp,high
2025-04-06,Europe,Facebook,medium
2025-08-21,North America,Instagram,low
2025-06-29,South America,WhatsApp,medium
2025-04-23,North America,WhatsApp,low
2025-02-21,South America,Facebook,medium
2025-09-25,North America,WhatsApp,low
2025-04-23,North America,Messenger,low
2025-04-11,Africa,Instagram,medium
2025-04-23,Europe,Facebook,low
2025-03-22,Europe,Messenger,high
2025-07-06,Asia,Facebook,low
2025-04-23,Africa,Messenger,high
2025-01-02,Africa,Instagram,high
2025-05-10,Europe,Instagram,low
2025-08-08,Africa,Messenger,medium
2025-02-23,Europe,Messenger,low
2025-08-12,Africa,Messenger,high
2025-08-13,North America,Messenger,low
2025-05-06,Europe,Messenger,medium
2025-05-10,Europe,Messenger,low
2025-02-22,South America,Instagram,low
2025-06-21,Africa,Messenger,low
2025-08-06,Africa,WhatsApp,low
2025-06-09,Europe,Instagram,medium
2025-07-17,North America,Facebook,medium
2025-09-04,North America,Instagram,medium
2025-07-22,North America,Facebook,low
2025-07-03,Africa,Facebook,low
2025-05-03,South America,WhatsApp,low
2025-09-12,Europe,Messenger,medium
2025-04-08,Asia,Messenger,high
2025-07-17,South America,Instagram,low
2025-08-28,Asia,Messenger,low
2025-05-24,South America,WhatsApp,low
2025-04-07,North America,Instagram,medium
2025-07-20,Africa,Instagram,medium
2025-05-04,Asia,Instagram,medium
2025-07-06,South America,Messenger,low
2025-09-16,Africa,Messenger,medium
2025-05-28,Asia,Messenger,medium
2025-09-09,Europe,Instagram,low
2025-05-27,South America,Instagram,low
2025-05-28,Europe,Facebook,low
2025-07-18,North America,Facebook,low
2025-05-08,Europe,Messenger,medium
2025-02-08,Europe,Instagram,low
2025-05-09,South America,Messenger,medium
2025-09-24,North America,Messenger,low
2025-05-31,Europe,Facebook,low
2025-04-09,Africa,WhatsApp,low
2025-09-20,Asia,Messenger,low
2025-09-09,Europe,WhatsApp,low
2025-05-24,North America,WhatsApp,low
2025-04-22,Europe,Instagram,low
2025-03-01,Asia,Instagram,low
2025-01-02,North America,Messenger,low
2025-09-11,South America,Facebook,low
2025-05-20,North America,Facebook,low
2025-02-06,South America,Messenger,high
2025-06-09,North America,Messenger,low
2025-01-09,Asia,Facebook,medium
2025-08-21,Asia,WhatsApp,low
2025-04-09,North America,Messenger,medium
2025-05-27,Europe,WhatsApp,low
2025-07-27,Asia,Messenger,high
2025-05-11,South America,Messenger,low
2025-06-01,South America,WhatsApp,medium
2025-02-23,Africa,WhatsApp,low
2025-04-30,South America,Facebook,low
2025-06-10,Africa,Messenger,medium
2025-04-26,North America,Instagram,low
2025-03-16,North America,Instagram,low
2025-04-23,North America,Messenger,low
2025-04-14,Europe,Messenger,medium
2025-09-11,Europe,Messenger,high
2025-08-15,Africa,WhatsApp,low
2025-04-22,South America,Instagram,medium
2025-04-09,South America,Instagram,low
2025-06-02,North America,Instagram,low
2025-07-13,Asia,Messenger,high
2025-06-12,Europe,WhatsApp,medium
2025-07-27,Europe,Messenger,medium
2025-06-18,North America,Facebook,low
2025-06-10,Europe,Facebook,low
2025-03-09,North America,Instagram,low
2025-05-15,Africa,Messenger,low
2025-07-14,South America,Facebook,low
2025-05-08,Asia,Facebook,medium
2025-02-02,South America,Messenger,medium
2025-06-25,South America,WhatsApp,low
2025-01-22,Africa,Messenger,low
2025-08-26,Europe,Messenger,medium
2025-06-07,Asia,WhatsApp,low
2025-02-07,Europe,Instagram,medium
2025-08-18,South America,Instagram,low
2025-02-20,North America,Instagram,low
2025-09-21,South America,WhatsApp,high
2025-01-27,Europe,Facebook,low
2025-08-14,South America,WhatsApp,low
2025-04-07,North America,Messenger,low
2025-05-27,Africa,WhatsApp,high
2025-01-04,Europe,Facebook,medium
2025-02-04,South America,Facebook,low
2025-07-11,Europe,Messenger,low
2025-02-18,Africa,Instagram,medium
2025-01-17,South America,Facebook,low
2025-06-21,South America,Facebook,medium
2025-08-08,Europe,Facebook,low
2025-06-07,Europe,Messenger,low
2025-02-15,North America,Facebook,medium
2025-01-06,Africa,Instagram,low
2025-04-09,North America,Messenger,medium
2025-08-21,South America,Instagram,low
2025-02-06,Europe,Facebook,low
2025-06-30,South America,Facebook,high
2025-04-05,South America,Instagram,low
2025-04-09,Asia,Messenger,medium
2025-07-07,Asia,Messenger,low
2025-04-26,South America,Instagram,medium
2025-07-10,Europe,Facebook,medium
2025-09-10,South America,WhatsApp,low
2025-06-10,Asia,Instagram,medium
2025-09-13,Europe,Instagram,medium
2025-05-08,South America,Instagram,low
2025-01-18,Africa,Facebook,low
2025-08-11,Africa,Messenger,low
2025-02-23,South America,Facebook,low
2025-02-27,Europe,Instagram,low
2025-06-23,South America,Facebook,low
2025-04-24,South America,Facebook,low
2025-05-31,Asia,Instagram,medium
2025-05-07,Africa,Facebook,low
2025-06-04,Asia,WhatsApp,high
2025-04-14,Asia,Facebook,low
2025-09-03,South America,Facebook,low
2025-06-25,Asia,Messenger,medium
2025-02-08,Africa,Messenger,low
2025-06-19,Asia,Instagram,low
2025-09-04,Africa,Instagram,low
2025-01-26,Asia,Messenger,low
2025-01-13,Africa,WhatsApp,low
2025-02-05,Asia,Facebook,high
2025-06-22,Asia,WhatsApp,low
2025-01-20,Europe,WhatsApp,medium
2025-09-21,Africa,Messenger,medium
2025-05-22,Africa,Instagram,low
2025-05-23,Africa,Facebook,low
2025-04-02,North America,Instagram,medium
2025-08-03,Asia,WhatsApp,medium
2025-02-20,Africa,WhatsApp,low
2025-06-02,North America,Instagram,low
2025-07-05,Europe,Instagram,low
2025-03-04,Africa,Messenger,low
2025-07-09,Africa,Instagram,low
2025-05-05,North America,Instagram,medium
2025-05-30,Asia,Messenger,low
2025-02-27,Europe,Instagram,medium
2025-06-29,Africa,WhatsApp,medium
2025-06-19,Asia,Instagram,low
2025-09-28,Europe,Facebook,low
2025-02-23,South America,WhatsApp,medium
2025-04-11,South America,Messenger,medium
2025-09-21,Europe,WhatsApp,medium
2025-02-22,North America,Messenger,low
2025-03-01,Europe,Facebook,low
2025-04-18,Europe,Facebook,low
2025-01-05,North America,WhatsApp,low
2025-04-13,North America,Instagram,medium
2025-07-15,Asia,WhatsApp,low
2025-09-19,Asia,WhatsApp,medium
2025-02-16,North America,Facebook,low
2025-05-24,South America,Messenger,medium
2025-09-26,South America,WhatsApp,high
2025-05-04,Europe,Instagram,low
2025-04-16,Africa,Facebook,high
2025-06-07,Europe,WhatsApp,low
2025-05-27,Europe,WhatsApp,low
2025-05-25,Africa,Instagram,medium
2025-04-30,North America,WhatsApp,high
2025-04-02,South America,WhatsApp,low
2025-02-27,Europe,WhatsApp,low
2025-08-17,Africa,WhatsApp,medium
2025-04-27,Asia,Instagram,medium
2025-05-07,Europe,WhatsApp,low
2025-05-09,South America,WhatsApp,medium
2025-02-27,North America,WhatsApp,low
2025-05-02,Europe,Facebook,low
2025-01-01,Europe,Instagram,low
2025-08-27,Africa,Facebook,low
2025-04-06,Asia,Facebook,high
2025-05-06,Asia,Instagram,low
2025-04-28,North America,Facebook,high
2025-02-17,South America,Facebook,low
2025-03-30,North America,Facebook,medium
2025-08-25,Europe,Instagram,medium
2025-07-08,Europe,WhatsApp,medium
2025-07-11,Asia,Messenger,medium
2025-03-10,South America,Messenger,low
2025-09-04,Africa,Instagram,medium
2025-03-17,South America,Messenger,medium
2025-06-03,Europe,Instagram,low
2025-05-24,Africa,Instagram,medium
2025-03-27,South America,Messenger,low
2025-07-04,South America,Facebook,low
2025-08-08,Africa,WhatsApp,medium
2025-03-10,Europe,Messenger,low
2025-02-16,South America,Messenger,medium
2025-04-04,Africa,Messenger,low
2025-08-26,Europe,Messenger,low
2025-07-23,Africa,Instagram,low
2025-08-06,Africa,Instagram,low
2025-02-08,South America,WhatsApp,medium
2025-04-10,Europe,WhatsApp,low
2025-09-11,South America,Messenger,low
2025-08-10,North America,Messenger,low
2025-01-23,North America,Messenger,low
2025-09-07,Europe,WhatsApp,medium
2025-01-10,Africa,Messenger,low
2025-09-03,South America,Facebook,medium
2025-04-10,South America,WhatsApp,high
2025-06-29,Europe,Facebook,medium
2025-08-11,Europe,Messenger,medium
2025-09-07,North America,Instagram,low
2025-05-27,Asia,Facebook,low
2025-04-06,Europe,WhatsApp,medium
2025-09-14,Asia,Facebook,medium
2025-01-04,Europe,WhatsApp,medium
2025-01-16,Africa,Messenger,medium
2025-09-04,Africa,Facebook,low
2025-09-15,North America,Instagram,low
2025-06-09,North America,Facebook,medium
2025-06-01,Asia,Instagram,medium
2025-06-27,Europe,WhatsApp,low
2025-06-12,South America,Messenger,medium
2025-02-02,North America,Messenger,low
2025-06-28,South America,Instagram,low
2025-04-11,South America,WhatsApp,medium
2025-09-25,Europe,Messenger,medium
2025-03-06,Asia,WhatsApp,low
2025-06-17,Europe,Instagram,low
2025-02-12,North America,Instagram,low
2025-02-13,South America,Facebook,medium
2025-01-12,Europe,Messenger,low
2025-04-05,Europe,Messenger,medium
2025-09-10,Europe,Facebook,high
2025-08-30,North America,Instagram,medium
2025-02-04,Asia,Instagram,low
2025-08-03,Europe,Instagram,medium
2025-03-31,North America,Instagram,low
2025-09-21,South America,WhatsApp,low
2025-04-03,Africa,Messenger,low
2025-03-31,North America,Messenger,low
2025-04-25,Africa,Instagram,high
2025-04-15,Europe,Instagram,low
2025-07-15,Europe,Instagram,low
2025-04-24,North America,Messenger,high
2025-03-16,Africa,Messenger,low
2025-08-05,Europe,Instagram,medium
2025-09-06,South America,WhatsApp,low
2025-06-13,Asia,Facebook,low
2025-07-11,Asia,Facebook,high
2025-08-15,Europe,Facebook,low
2025-06-26,Africa,Messenger,low
2025-04-09,Europe,Messenger,low
2025-02-05,Africa,Facebook,low
2025-04-06,South America,Facebook,low
2025-06-01,Africa,WhatsApp,low
2025-05-31,Europe,Messenger,low
2025-07-09,South America,Messenger,medium
2025-08-12,North America,Facebook,low
2025-02-06,Asia,WhatsApp,low
2025-09-25,Europe,WhatsApp,low
2025-07-02,Europe,Facebook,high
2025-01-13,Europe,Facebook,high
2025-08-05,South America,Messenger,medium
2025-03-03,North America,Facebook,medium
2025-03-25,Africa,Instagram,low
2025-08-05,North America,WhatsApp,low
2025-07-06,South America,Facebook,medium
2025-01-19,Europe,Instagram,medium
2025-06-26,Asia,WhatsApp,low
2025-04-10,Europe,Instagram,low
2025-08-21,Africa,Instagram,high
2025-03-17,Asia,Facebook,medium
2025-09-22,Europe,WhatsApp,low
2025-07-25,Asia,Instagram,medium
2025-08-11,North America,Messenger,low
2025-02-21,South America,WhatsApp,low
2025-05-24,Europe,Messenger,low
2025-03-10,Africa,Facebook,low
2025-04-09,North America,Messenger,low
2025-01-25,Europe,WhatsApp,medium
2025-02-22,North America,Instagram,low
2025-05-31,Africa,Instagram,low
2025-05-24,Europe,WhatsApp,low
2025-02-26,Africa,Instagram,low
2025-02-08,Asia,Messenger,medium
2025-04-19,Africa,Instagram,medium
2025-06-30,Asia,Instagram,high
2025-02-11,Europe,Messenger,high
2025-07-05,Asia,Messenger,low
2025-08-11,Europe,Messenger,low
2025-05-02,Europe,Facebook,medium
2025-05-13,South America,Messenger,high
2025-06-12,Europe,Messenger,medium
2025-08-03,Asia,Facebook,medium
2025-08-09,South America,Instagram,medium
2025-08-23,South America,Messenger,low
2025-05-26,Europe,WhatsApp,low
2025-08-27,Africa,Messenger,medium
2025-03-17,Africa,Messenger,medium
2025-01-09,South America,Facebook,low
2025-03-15,Europe,WhatsApp,low
2025-09-10,Africa,Instagram,low
2025-08-18,Europe,Instagram,low
2025-01-07,Europe,WhatsApp,high
2025-06-23,South America,Messenger,low
2025-05-21,South America,Facebook,low
2025-06-17,North America,WhatsApp,low
2025-06-19,Africa,WhatsApp,medium
2025-05-02,Africa,Instagram,low
2025-07-13,Africa,Facebook,low
2025-01-05,Asia,WhatsApp,low
2025-01-29,Europe,Facebook,low
2025-06-14,South America,Messenger,low
2025-05-16,Africa,Instagram,low
2025-05-25,North America,Messenger,high
2025-08-05,Africa,Facebook,low
2025-05-12,Europe,Messenger,low
2025-03-11,Europe,Instagram,medium
2025-09-09,South America,Facebook,low
2025-07-01,Asia,WhatsApp,medium
2025-06-16,South America,Messenger,low
2025-04-01,Africa,Instagram,low
2025-07-21,North America,WhatsApp,medium
2025-01-19,South America,Instagram,high
2025-02-08,Asia,Facebook,low
2025-05-06,South America,Facebook,low
2025-06-22,Europe,Messenger,low
2025-05-21,Africa,Instagram,high
2025-08-30,Africa,Instagram,high
2025-08-08,Africa,Instagram,low
2025-05-06,Africa,Facebook,low
2025-02-27,Africa,Messenger,low
2025-05-28,Africa,Instagram,low
2025-01-01,North America,Instagram,low
2025-07-09,Asia,WhatsApp,low
2025-07-10,Africa,Instagram,medium
2025-04-27,Asia,Messenger,high
2025-05-14,Africa,WhatsApp,high
2025-02-27,South America,WhatsApp,low
2025-02-13,Africa,WhatsApp,low
2025-06-22,Europe,Facebook,medium
2025-06-09,North America,WhatsApp,low
2025-06-22,South America,Instagram,medium
2025-05-29,South America,Facebook,low
2025-03-21,Europe,Facebook,low
2025-08-01,Africa,Facebook,low
2025-07-22,North America,Facebook,low
2025-09-09,South America,Facebook,medium
2025-08-17,North America,Facebook,low
2025-06-13,South America,Facebook,low
2025-08-15,Africa,WhatsApp,low
2025-05-27,South America,Messenger,medium
2025-01-20,South America,Instagram,low
2025-02-16,Asia,Instagram,low
2025-08-21,Africa,WhatsApp,low
2025-01-14,Europe,WhatsApp,low
2025-05-23,Europe,Facebook,low
2025-01-01,Africa,Messenger,medium
2025-02-23,Europe,Facebook,low
2025-09-16,Africa,WhatsApp,low
2025-05-24,Europe,Facebook,medium
2025-01-12,Asia,Instagram,low
2025-08-12,Europe,Instagram,low
2025-06-05,South America,Facebook,low
2025-01-08,Africa,Messenger,low
2025-05-02,North America,Facebook,medium
2025-06-13,North America,Facebook,medium
2025-03-31,Africa,Messenger,medium
2025-05-16,Asia,Messenger,medium
2025-07-05,Europe,Messenger,low
2025-06-27,Asia,Instagram,low
2025-01-28,North America,Facebook,low
2025-08-08,Africa,WhatsApp,low
2025-02-10,Africa,Messenger,high
2025-08-16,Asia,Messenger,medium
2025-07-11,Asia,Facebook,low
2025-05-25,Europe,WhatsApp,low
2025-07-20,South America,Facebook,low
2025-07-31,South America,Facebook,low
2025-08-08,Europe,Messenger,low
2025-08-28,South America,Messenger,low
2025-02-15,North America,Instagram,medium
2025-02-04,South America,WhatsApp,medium
2025-09-10,Europe,WhatsApp,low
2025-03-23,South America,Messenger,low
2025-09-13,Africa,Messenger,low
2025-07-16,Asia,Messenger,medium
2025-01-10,North America,WhatsApp,medium
2025-08-30,Africa,Instagram,high
2025-09-08,Africa,WhatsApp,low
2025-01-05,Europe,Messenger,medium
2025-04-29,Asia,Messenger,low
2025-03-06,Asia,Instagram,low
2025-05-26,North America,Facebook,low
2025-08-12,Europe,Facebook,low
2025-08-27,North America,WhatsApp,medium
2025-06-26,South America,Facebook,low
2025-09-24,Africa,Facebook,low
2025-03-04,North America,WhatsApp,low
2025-08-05,Africa,Messenger,low
2025-06-26,Europe,Facebook,low
2025-04-08,South America,Messenger,low
2025-04-15,Europe,WhatsApp,low
2025-04-09,South America,Messenger,low
2025-01-06,South America,Messenger,high
2025-07-16,Africa,WhatsApp,low
2025-05-13,Europe,Messenger,low
2025-09-16,Europe,Facebook,low
2025-01-23,North America,Facebook,medium
2025-02-22,Europe,Facebook,medium
2025-06-14,North America,Facebook,low
2025-07-21,Asia,Messenger,low
2025-03-24,Asia,Facebook,medium
2025-05-25,Asia,Messenger,medium
2025-03-26,Europe,Instagram,medium
2025-03-19,Europe,Messenger,medium
2025-01-01,North America,Facebook,medium
2025-02-20,South America,Instagram,low
2025-06-22,North America,WhatsApp,low
2025-07-24,Asia,Messenger,medium
2025-09-17,North America,Facebook,medium
2025-02-03,South America,Facebook,low
2025-04-05,Europe,Facebook,high
2025-03-13,North America,WhatsApp,low
2025-02-08,Asia,Instagram,low
2025-06-03,Asia,Instagram,medium
2025-09-07,Europe,Facebook,low
2025-06-11,North America,Messenger,low
2025-04-28,South America,Facebook,low
2025-09-16,Europe,Facebook,low
2025-09-25,North America,Messenger,low
2025-02-23,Africa,Facebook,low
2025-08-24,Asia,WhatsApp,low
2025-08-10,South America,Facebook,high
2025-09-08,South America,WhatsApp,high
2025-04-22,South America,Facebook,low
2025-09-12,Asia,Instagram,medium
2025-07-26,North America,Messenger,low
2025-08-17,Europe,Instagram,low
2025-03-07,North America,Facebook,low
2025-03-16,Europe,Facebook,high
2025-04-13,South America,WhatsApp,high
2025-07-11,North America,Facebook,low
2025-09-09,South America,Facebook,low
2025-08-14,Africa,Facebook,low
2025-04-08,South America,Instagram,low
2025-09-06,South America,WhatsApp,low
2025-06-15,Europe,Instagram,low
2025-01-30,Africa,WhatsApp,medium
2025-09-04,South America,Instagram,low
2025-04-16,South America,Facebook,high
2025-02-20,Africa,Instagram,medium
2025-03-22,Africa,Instagram,low
2025-05-13,North America,WhatsApp,medium
2025-05-18,Europe,WhatsApp,medium
2025-07-03,Africa,Instagram,low
2025-03-10,Africa,WhatsApp,low
2025-02-03,Asia,WhatsApp,high
2025-09-19,Africa,WhatsApp,low
2025-02-22,Europe,Messenger,low
2025-07-24,South America,WhatsApp,low
2025-05-06,South America,Messenger,medium
2025-08-23,South America,Messenger,medium
2025-02-12,South America,WhatsApp,high
2025-08-28,Asia,Instagram,low
2025-04-21,Africa,WhatsApp,low
2025-09-06,South America,Facebook,low
2025-05-31,North America,Instagram,medium
2025-07-02,South America,Messenger,low
2025-04-05,Africa,Messenger,low
2025-01-08,South America,Instagram,low
2025-07-03,Asia,Instagram,low
2025-07-14,Europe,WhatsApp,medium
2025-07-14,Europe,Messenger,medium
2025-06-04,Africa,Facebook,high
2025-04-03,Europe,WhatsApp,low
2025-06-09,Europe,Instagram,high
2025-03-02,North America,Messenger,medium
2025-05-02,Africa,Instagram,low
2025-02-20,Africa,Instagram,high
2025-01-05,Europe,Instagram,low
2025-04-02,Europe,WhatsApp,medium
2025-06-19,Europe,Facebook,medium
2025-01-22,Asia,Facebook,medium
2025-01-01,South America,Messenger,low
2025-05-13,Asia,Instagram,low
2025-08-21,Africa,Facebook,low
2025-01-12,North America,Instagram,low
2025-02-15,South America,Messenger,medium
2025-02-03,North America,Instagram,medium
2025-03-19,Africa,Facebook,high
2025-08-06,Africa,Instagram,low
2025-03-14,North America,Facebook,medium
2025-09-06,North America,Messenger,high
2025-02-16,North America,Instagram,medium
2025-05-01,Africa,Facebook,low
2025-08-02,Europe,Messenger,low
2025-08-27,North America,Instagram,low
2025-02-25,South America,Messenger,medium
2025-04-17,Africa,Facebook,medium
2025-02-17,Asia,Instagram,high
2025-03-02,Asia,Instagram,low
2025-01-26,South America,Instagram,low
2025-09-14,Europe,Messenger,medium
2025-01-08,North America,Messenger,medium
2025-04-23,Africa,Facebook,high
2025-09-10,North America,WhatsApp,medium
2025-06-29,Africa,Instagram,low
2025-07-26,Asia,Instagram,medium
2025-05-07,North America,Facebook,medium
2025-02-25,South America,Instagram,low
2025-08-02,Europe,Messenger,low
2025-01-14,South America,Messenger,low
2025-01-28,Europe,Instagram,low
2025-03-19,North America,Instagram,medium
2025-08-04,North America,Messenger,low
2025-06-03,Europe,Instagram,low
2025-01-14,Asia,Messenger,low
2025-07-06,Africa,WhatsApp,low
2025-01-07,South America,WhatsApp,low
2025-01-03,South America,Instagram,medium
2025-04-21,South America,Instagram,low
2025-08-26,North America,Instagram,low
2025-08-27,South America,Messenger,low
2025-08-15,Africa,WhatsApp,low
2025-01-15,Africa,WhatsApp,low
2025-07-11,Europe,Facebook,low
2025-04-29,North America,Facebook,medium
2025-01-28,Africa,Instagram,medium
2025-07-21,Asia,Messenger,low
2025-02-08,North America,Instagram,low
2025-08-19,North America,WhatsApp,high
2025-03-27,Africa,Instagram,medium
2025-05-06,Asia,Instagram,low
2025-01-25,Europe,WhatsApp,medium
2025-05-25,Africa,WhatsApp,medium
2025-01-13,Asia,WhatsApp,medium
2025-07-31,North America,WhatsApp,low
2025-01-25,Asia,Facebook,low
2025-03-09,North America,Messenger,low
2025-03-08,Africa,Messenger,high
2025-08-21,Africa,WhatsApp,medium
2025-04-19,South America,Messenger,low
2025-05-26,South America,Messenger,high
2025-04-21,South America,Messenger,high
2025-08-16,Africa,Messenger,high
2025-04-21,Europe,WhatsApp,medium
2025-02-03,Africa,Instagram,high
2025-04-21,Asia,Instagram,low
2025-09-21,Africa,Instagram,medium
2025-08-24,Africa,Facebook,medium
2025-03-24,North America,Messenger,low
2025-02-11,North America,WhatsApp,low
2025-04-11,North America,WhatsApp,high
2025-01-06,Africa,Facebook,low
2025-06-29,Europe,WhatsApp,medium
2025-08-14,Asia,Instagram,low
2025-08-17,Asia,Facebook,low
2025-05-30,Europe,WhatsApp,low
2025-07-17,Europe,Facebook,low
2025-03-11,Asia,Facebook,medium
2025-04-22,South America,WhatsApp,low
2025-01-04,North America,Instagram,low
2025-04-05,North America,WhatsApp,low
2025-06-01,Asia,Messenger,low
2025-05-17,Europe,Messenger,low
2025-09-04,South America,WhatsApp,medium
2025-08-31,Asia,Instagram,low
2025-01-31,North America,Messenger,low
2025-02-09,Africa,Messenger,low
2025-08-17,Europe,WhatsApp,low
2025-02-05,Africa,WhatsApp,low
2025-08-11,Asia,WhatsApp,low
2025-01-06,North America,Facebook,medium
2025-08-08,South America,Facebook,high
2025-03-16,Africa,Facebook,medium
2025-01-04,South America,WhatsApp,low
2025-05-14,North America,Instagram,low
2025-04-28,Africa,Messenger,low
2025-04-04,South America,Facebook,medium
2025-03-03,South America,Instagram,high
2025-07-13,Africa,WhatsApp,low
2025-07-22,North America,Facebook,low
2025-01-26,South America,WhatsApp,medium
2025-06-22,Asia,Instagram,medium
2025-05-13,Africa,Facebook,medium
2025-04-28,Europe,Facebook,medium
2025-07-31,Europe,Facebook,high
2025-08-13,North America,Facebook,low
2025-01-20,Asia,Instagram,high
2025-04-23,South America,Facebook,high
2025-05-20,Europe,Messenger,medium
2025-02-16,North America,Messenger,low
2025-01-01,Asia,WhatsApp,low
2025-03-31,Asia,Facebook,low
2025-05-22,North America,Messenger,low
2025-02-07,North America,Messenger,medium
2025-05-19,South America,Messenger,low
2025-09-16,North America,Instagram,low
2025-06-10,South America,Facebook,medium
2025-06-27,South America,Instagram,low
2025-01-10,Africa,Instagram,low
2025-09-18,Asia,Messenger,low
2025-05-18,Asia,Messenger,medium
2025-06-21,Asia,WhatsApp,low
2025-01-13,Africa,Facebook,medium
